Name,Chamber,Party,Total
"ROMNEY, Willard Mitt (Mitt)",Senate,Republican,$96.82M
"LOEFFLER, Kelly",Senate,Republican,$47.29M
"SCHUMER, Charles Ellis (Chuck)",Senate,Democrat,$18.77M
"PELOSI, Nancy",House,Democrat,$17.83M
"McCONNELL, Addison Mitchell (Mitch)",Senate,Republican,$13.50M
"PORTMAN, Robert Jones (Rob)",Senate,Republican,$10.59M
"GILLIBRAND, Kirsten",Senate,Democrat,$10.53M
"SULLIVAN, Daniel Scott",Senate,Republican,$10.16M
"MCCARTHY, Kevin",House,Republican,$10.08M
"CRUZ, Rafael Edward (Ted)",Senate,Republican,$8.93M
"RUBIO, Marco",Senate,Republican,$8.41M
"CORNYN, John",Senate,Republican,$8.36M
