congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party,color,projection-1d,projection-2d_x,projection-2d_y,donations-in-total,donations-from,donations-count,reduced-projection-1d,reduced-projection-2d_x,reduced-projection-2d_y,minimum-projection-1d,minimum-projection-2d_x,minimum-projection-2d_y
117,President,99912,0.403,"TRUMP, Donald John",,200,,Republican,blue,,,,0,<EMPTY>,0,,,,,,
117,President,99913,-0.32,"BIDEN, Joseph Robinette, Jr.",B000444,100,13047,Democrat,red,0.9656639099121094,0.2070755958557129,0.8899643421173096,7183522,"3492,3652,4900,5563,7369,15923,15931,15948,17892,16825,16965,17966,17836,21810,18227,18235,18247,18681,24444,24813,24915,34537,35117,1249,38269,2416,33725,2550,3932,35097,15185,15217,1493,4387,42688,42690,40508,42647,42741,1193,4518,13302,13284,33841,33157,13166,5618,43188,5332,43159,2328,14965,33169,34344,43936,44047,1078,13935,15227,35077,44190,1097,4925,16986,15178,51321,37881,5806,4314,18242,3480,15407,8302,16069,23326,4103,38217,18750,35086,33296,22312,14514,23565,2262,2264,2269,2266,2267,35123,15406,33778,18599,35987,35914,18178,45440,9873,4427,45490,3466,14960,15183,1201,35030,15188,45625,35042,18677,45713,33849,45996,46001,46063,46120,15093,46135,46143,46141,43156,46254,46204,46241,46319,3003,46336,14197,4206,14958,39650,46366,46390,2297,46421,2223,46440,5654,15940,19429,8681,23454,9878,46866,46924,14947,46982,15855,47095,47102,37101,47116,35079,47170,1776,35892,33563,33497,47385,47405,47404,47406,47428,47429,47571,43775,10863,23405,47758,47760,47762,15376,47805,47506,47900,48047,2289,2291,48282,37827,35907,48001,35468,49056,26589,49115,49118,15002,39293,49306,15405,14962,37871,50088,38666,49971,50538,253304,15721,40302,50832,35682,35522,17903,51389,39841,15854,1876,16151,17000,16544,3139,1180,1188,1181,1795,39539,52525,52530,51462,18600,12318,20137,14009,16997,18678,17991,1368,37077,57906,35074,59335,51666,51613,1585,66954,66961,43518,37227,68712,37295,11086,42193,3726,66543,35023,51490,69340,125968,1235,69760,51196,68535,35136,9785,70339,7645,71038,2725,67980,71046,71044,71013,71017,49703,71019,13776,51184,90066,51045,15108,14991,15176,33641,37088,34346,14601,49955,73298,73319,19489,73756,73752,37092,15205,73128,73123,4084,70411,66645,51679,71310,70409,71345,71343,48066,74536,71342,71333,36035,71331,71335,1241,47581,70351,71210,71265,75347,64059,75460,68453,71289,70358,75686,23796,75934,20303,12193,69424,1187,1205,1225,1229,1237,1427,1483,69325,29502,27358,40611,77370,12677,73064,16429,78457,2845,78205,78488,1617,2745,35128,51541,71434,1935,75333,15023,20091,79293,28072,7352,20900,80182,80200,33301,80330,7989,80373,15115,70338,18233,75103,15159,35144,10087,51046,15273,81516,15370,75123,33650,49672,2301,82560,82556,34570,70387,75264,1962,43093,6380,83181,82765,3127,2122,7142,2051,83932,42142,73065,40298,46668,84047,84105,15804,68510,85260,46620,86608,85871,43792,71190,6646,73049,71271,89683,87236,2949,68357,90062,21664,9197,90659,63146,90125,91093,91154,86459,18800,91370,59628,59626,91690,48041,91695,9290,2065,91989,92079,68396,92309,70819,92325,93015,93060,69386,71705,73075,9140,93163,93199,93198,93197,93194,93191,93190,93189,84107,93180,93185,93182,93181,93179,93187,93178,40969,93176,93175,93173,93169,93167,93162,93160,93161,93264,49475,27384,17330,84101,81894,6860,93896,93957,94165,11729,35579,94334,94440,73378,95267,93158,95304,93159,95495,69439,39411,2255,2263,35903,35636,38051,46764,4618,59203,48399,98068,91493,98137,37840,49414,98238,13400,12325,46636,2363,16424,73054,75263,99189,5783,14155,75279,99381,25360,81011,69556,100637,73110,73533,51507,83295,82783,17839,28985,95699,58334,101015,101017,42599,101293,101405,70417,101574,101652,101681,101691,101720,52537,15461,33732,33843,102731,70393,50262,103102,71453,35421,35919,103673,13440,103777,70502,38322,85224,14091,78002,105470,105477,80440,2455,91496,3592,13786,93115,92694,22774,98950,107208,51033,107401,107448,101490,107665,40004,8763,70435,34649,13324,14272,13903,108389,10002,81849,81452,6107,16983,79324,33419,81707,47548,21508,21509,13391,13406,36927,36929,13736,11245,109799,39842,109912,109915,108318,4129,110041,110212,26848,35134,14137,5422,9240,110629,11303,26695,110715,110717,110800,70364,111125,8937,111195,35069,49457,13942,14022,16996,16998,20876,111800,70382,79354,111859,111857,112093,71869,16204,112171,112177,73665,83966,112640,112641,112722,113204,113305,19115,19377,22674,7703,37024,35697,51034,51039,51040,51041,51050,35363,114083,8782,82976,17218,105753,37336,18633,115288,115293,115295,9571,12739,46600,92002,17243,17253,17257,116177,116219,116454,16186,6192,42200,66418,80478,17894,117837,116351,85787,118185,118243,17180,66145,118707,2261,118739,72913,5852,77567,18225,128130,35176,62122,72602,15531,67605,101863,15013,24445,107009,129744,129755,129774,129828,129833,129883,130043,130150,110138,130374,130408,17964,23411,130415,130423,130427,130429,130433,130436,130454,130437,131187,77981,131219,9398,131625,70461,83281,132766,133143,133172,133173,133199,133556,17831,49863,133682,19535,73154,70802,130705,134795,90938,134853,134898,134906,255877,47149,134994,135011,135124,135195,126752,135236,135238,135250,105921,135258,135278,135280,135895,68496,32673,136426,137005,137134,19465,19423,138356,138489,138550,138632,138710,138882,139307,139633,139886,28211,80431,84898,109187,4581,43648,2844,49088,5595,77839,141106,141215,141422,73664,18350,143613,143686,143821,109194,144305,144895,144919,144936,73104,144964,254663,128143,145030,145105,145309,59652,70389,145341,145348,68485,145359,145383,145995,145996,82302,77949,130040,147520,51055,149003,149459,142238,3481,77890,153078,68330,153348,84877,153384,66049,69394,153749,15842,153789,78946,67817,154472,154495,154583,154584,154622,65968,155149,155151,155153,155159,48932,128457,155529,68419,155557,155673,155759,155783,143278,68813,83956,6275,128809,89888,68664,143460,156564,140441,156578,156579,156581,156587,156960,42507,156976,9758,132126,157560,157733,157742,157840,9618,158300,158821,24217,82509,159584,159613,88622,22075,22094,22748,38474,199836,75199,160115,160572,71212,23830,161158,161159,161291,161363,161377,161378,140400,75267,161484,161506,161552,161553,161567,161576,161596,161597,161598,75486,70789,16383,16385,17328,19904,21102,23004,159079,161757,161758,161773,162400,162656,163183,163823,4522,66270,164028,164074,122950,164380,164397,143243,143388,97168,164890,21273,165659,165821,35599,166375,83271,166503,166510,74839,167387,88805,91271,168020,158855,158854,159041,159043,58738,78213,169539,73139,75226,144673,144674,144719,144727,144733,171009,9701,76939,172529,73729,172951,173042,174399,69209,175870,175956,175971,175997,176012,176093,176188,157843,4550,177727,177732,177736,177744,177752,177757,177865,128520,178008,178017,178043,178048,58930,96624,85823,90132,178940,178942,87899,59064,85129,183354,73248,168377,183821,183922,184053,51705,51710,72950,98437,185275,67977,146035,47015,8270,82373,92802,147882,148095,70896,125606,105460,188640,5790,47005,47690,83910,188838,188844,188909,191881,191882,191883,192984,193037,193065,193374,193386,193389,193393,153000,193408,193412,193415,193417,193431,193435,193439,194010,150685,194556,86776,194730,194723,194858,194860,195047,195087,195150,195165,173068,195892,195895,196039,196234,196235,196533,196542,196986,26605,197499,197530,42819,167779,198459,47910,198982,199026,199046,199227,199329,185048,199926,200147,200441,200487,200567,200619,200833,201013,201027,201561,201690,90718,202067,69982,75246,75315,203255,203804,204462,201979,205924,206321,206387,206468,206913,207355,31013,207390,207586,90909,207852,208276,208576,208629,208633,209283,209376,209877,210397,105873,105878,210485,105891,211079,211083,211395,61524,212088,212313,212314,70481,212590,212594,51510,213237,213373,213612,214066,36859,215227,5768,35876,60208,60211,212436,161651,216735,216863,216907,217210,217222,217866,217984,217987,217988,217989,218577,10772,128523,52544,51480,222164,222311,222330,222331,222332,79746,26852,18776,47483,226717,39323,226828,226831,226834,221392,20149,169513,68559,136217,227688,46719,179054,70384,228402,228403,10774,228504,228725,30739,15844,26793,233179,161254,233725,233776,233841,234200,234563,84916,84947,148029,92264,203351,243583,243805,245319,246334,246341,246623,180682,248530,248822,128514,249201,91944,91915,249321,249593,249609,249651,249652,78102,249779,249791,249796,250000,250022,250101,250271,250308,250319,250335,250336,250359,250388,250389,153889,251818,24251,51664,77730,252245,252550,252911,252914,252928,252962,253001,130768,130770,253248,253450,253451,253533,253835,254508,254684,255353,255354,255637,255700,255751,255753,255924,221423,255954,256067,256180,256456,138766,6683,119755,257326,257336,257582,257588,257661,257693,257763,257767,257819,257951,257959,258147,258202,84930,258409,258493,46741,49674,49897,73245,258848,258851,258852,70394,258958,258964,39824,10357,259076,46772,125595,259135,77874,9875,258806,163918,259735,260275,75160,260373,260401,260420,260422,260483,260732,149868,64058,262267,79907,262755,263242,36727,263307,263582,58383,86101,221467,264040,107025,51501,266851,263642,266617,267571,267884,266627,96592,267917,267929,267934,266641,264511,8959,263731,70779,270441,270649,270650,270734,43085,118610,269264,270890,271051,246624,269589,272927,266408,273578,108758,275650,36865,77838,276095,277051,278910,278914,278963,279029,202466,280081,280228,280739,281195,281926,80429,282145,130612,282401,26738,126732,126734,282504,282780,43517,284425,284572,284633,285186,314910,314911,314918,315010,315029,44202,112401,315813,148385,316519,316522,324312,324349,182011,279691,326542,326543,326552,326558,6628,243562,78065,86526,17260,172171,149857,333431,17205,333519,333580,80401,51482,19173,284873,335914,178125,336209,336349,336454,21100,337797,338135,339176,340154,340303,340373,340376,15825,44564,211695,342178,342320,342677,71465,342906,57751,345068,345252,73078,347004,208761,46622,46625,212339,79728,351246,16169,352506,80409,172081,354115,80408,354129,354131,80450,354237,354651,354663,354778,355103,39958,355792,77904,356179,65963,84819,106085,359166,87849,359232,359254,359406,360590,34999,360794,201246,33287,362018,98651,363243,363563,215784,37049,366071,37036,35061,83182,36918,2509,77796,156188,77882,77986,49721,35055,208754,83291,78160,78027,73484,366225,77837,41536,366226,78185,78000,77993,366227,165762,35321,1216,366228,35088,366229,77816,41756,47996,46273,366230,78076,43933,83299,35106,183263,366231,366232,313601,14979,15301,49891,14990,69393,51481,264260,15126,1414,96406,8349,366233,15050,104693,105018,46677,93412,47698,366234,45691,87213,227928,340203,331885,7303,83862,349336,366235,366236,366237,70480,71316,6347,117089,354833,366238,366239,366240,366241,366242,366243,366244,366245,366246,366247,366248,366249,71732,363187,363052,363053,363054,363055,363056,73480,363057,363058,6203,363060,363061,363062,363063,363064,366250,366251,290328,276561,290624,363071,363072,212352,363073,366252,83218,83243,363076,83244,85030,128506,128515,363077,252031,117171,33646,175940,83247,83315,73320,208758,363078,363079,77929,363083,83250,363084,117176,366253,363086,206168,140068,83289,366254,363088,75100,68579,366255,1753,366256,363091,83256,366257,1075,77865,137079,363092,363093,363094,128493,29822,363095,363096,363098,82240,363099,363100,77899,45439,276910,223466,363101,363102,146868,363104,75889,37219,83214,77925,366258,71437,102642,43806,363109,363111,363112,363190,363191,363113,363114,250233,77940,44645,363115,204877,33173,157330,206506,77810,52545,363121,363122,366259,77977,72941,87988,363130,363132,363133,68388,363136,363138,225190,363142,363143,363144,1747,128507,363148,111851,78021,363151,363153,363155,77857,363156,363157,363158,363160,363159,285054,363162,366260,363164,363167,363168,363169,340690,59554,363173,250237,363176,363177,363178,363179,363180,363181,120011,366261,148168,15214,208757,366262,128471,42719,42288,84186,35221,366263,129484,366264,332742,366265,366266,366267,366268,181823,187003,91303,73565,35116,35050,149249,48056,51511,137057,366269,367614,367684,367754,367757,367771,367792,367982,368418,368541,369023,371560,371981,371987,373003,373004,140639,378829,378902,190830,379962,83867,386534,386734,101689,276099,390252,7676,195643,20092,398518,202314,152894,86507,79261,416117,113327,415461,76623,13253,51586,333501,14763,271797,8136,413128,398041,416895,201958,417049,111196,37335,369554,393064,345051,92456,60023,70117,417255,417270,7122,417694,203397,86022,71336,417951,417962,418019,418023,418027,418043,418048,418047,37644,68292,418098,279158,418170,363192,69909,418237,260894,418250,418277,418311,250324,153366,61250,193427,365734,281668,21197,418462,163530,9712,215571,418799,106005,226087,418966,419065,419064,419072,135013,369417,177176,419267,195079,419285,419288,136948,419317,128512,11578,39585,419481,7469,419521,78420,43609,284544,83274,113696,42101,73346,141436,46800,419724,77807,130781,419880,246031,419884,338105,419886,10071,419890,419895,91724,130619,135003,149005,46305,249714,419938,276790,362160,420052,420122,420147,142798,9094,420214,9093,175945,326544,342965,342948,342985,5808,343015,248956,248576,248558,73544,262035,420421,135213,90090,80151,420461,420463,50059,74654,225775,215303,69276,252999,260347,100639,420587,93966,88442,363059,420596,420620,43173,420643,230703,118620,420679,82613,15359,420731,214971,269645,1766,176401,420924,164831,35416,156664,137297,112091,145072,344334,421177,421178,421209,128555,421228,421257,421284,421285,421295,248630,421321,421330,362144,174142,367116,421341,421358,248641,421373,421386,421406,421417,421418,44800,83528,83543,83545,421487,421493,84198,41059,83789,29846,41232,41520,1750,46454,46598,46015,421671,414366,249784,421809,421827,50883,203835,421949,421952,421960,421962,98422,175131,422016,422017,422019,422022,422033,321195,145020,248202,92850,422044,111462,416336,248826,203978,416636,97524,417121,117164,187420,187419,417222,417254,224350,411932,417967,417993,418088,418092,418140,418143,418184,119579,418379,418961,419268,419272,419282,419302,136717,46272,107028,40961,331862,185238,35104,140387,118717,217548,217539,161615,420156,420219,342937,342935,1684,259045,420615,51504,420695,420921,164832,420962,85101,421195,421200,421202,70827,421287,421297,421337,421340,421356,421365,421496,80811,84195,93579,204412,46607,421984,80426,421997,422036,97920,422055,80089,422086,110998,422091,249739,45419,422104,422194,422198,368998,422203,414696,422234,139826,422265,422415,10981,5371,422462,412111,422477,280822,422582,46320,422676,257624,422703,138293,333497,75310,250935,247471,333499,247434,422874,422877,422907,422912,49456,379786,422972,423017,34408,34406,423152,181089,423159,89790,68573,152744,423161,128543,423165,249794,6039,247404,70352,104294,423331,423386,117958,423392,225429,423397,157395,423522,13564,15265,423560,157725,423633,93527,43464,129664,423650,423654,423657,423658,423661,423662,423737,423751,423862,423885,418678,43682,424149,2498,196287,66456,46605,389014,424363,424365,424366,424369,424371,320428,158030,62105,424481,424492,136546,185440,366774,249198,424651,35067,278698,43656,27551,25514,184715,424741,424743,424751,424756,274601,139110,208443,424861,424892,424895,424896,424908,75307,137107,397847,424953,93253,215004,220695,58068,425132,5927,425169,19876,425183,425207,425212,425215,74845,122025,425283,122026,122028,425344,425350,425387,425413,360968,425620,146215,425807,425825,425826,425828,425831,2003,130219,425846,425862,425863,425865,425866,425867,134185,425875,2311,49901,91893,425900,425905,106331,425911,425913,425914,336727,425925,425933,5288,9330,136897,273531,254573,73532,192215,180194,426220,426528,426529,336991,392235,426568,426571,426572,426599,65746,426656,416503,4694,250376,193255,426820,426825,69472,426833,426835,426845,426849,426852,426858,7869,426869,49918,38054,426896,426925,19859,415043,427047,427051,427059,14951,138191,138342,138331,427101,427102,128458,177741,225742,50274,427186,427187,427190,80398,427252,427253,45695,157562,157505,427259,427316,100534,427335,71538,427354,257128,427392,170816,427412,3339,427414,423264,112516,427494,427578,247773,185240,427727,72372,422549,427770,427789,427848,204937,165640,328911,427885,427886,175908,142322,428033,428034,49988,428075,428077,118220,71389,71400,35991,430268,430406,430462,430464,430465,430591,430621,430648,430647,175934,241916,430811,430821,430841,106980,225204,49261,4955,93382,325760,47447,70532,430917,147954,96398,75448,85705,84138,418384,198900,430988,430991,431082,284952,431136,2005,431153,35464,144793,431157,431160,423436,431162,264319,63027,7804,175080,431256,244364,15213,269989,431370,431411,4239,431443,431493,175044,248216,198454,72857,284221,284227,62191,431791,431792,431796,431797,128099,423594,431946,431947,33295,431980,432069,255757,432073,432152,432171,432178,432179,378785,432242,432243,432246,89885,432291,10970,432468,432469,432508,326592,249229,432570,274504,103434,51447,432575,432576,432577,432625,432634,432635,185439,131462,233353,99024,76253,1009,217536,35630,148795,15097,46402,20883,433025,80424,433043,280842,433052,433088,164833,258359,112745,112747,403365,207886,72937,433147,433148,433152,389633,433233,230698,362673,49973,47875,117867,246627,244634,246635,246634,154611,51917,51918,365473,245608,245597,433318,49692,12266,433363,433409,433415,433419,433421,342786,433431,6858,120126,62946,130653,433517,37743,46660,144068,134525,91195,163827,172011,163862,37306,186538,347541,230688,433563,38292,433585,433587,42129,15289,280820,80900,433590,433591,433592,433602,3892,389969,433706,433707,433708,433718,433719,433721,433722,433723,433725,433867,185249,433876,433870,98431,248634,270597,433954,433957,433960,433962,90642,130893,337096,433989,335574,41128,434083,434096,434099,49199,37932,434123,434125,434126,416266,434128,82196,34661,57693,135437,75229,434167,434173,3719,126490,434182,3769,434210,40949,199068,232864,434314,434332,48554,397165,104358,434375,131953,184835,434413,434421,434444,46810,148861,252072,80397,434473,262075,155554,43260,434499,434501,135771,434520,367636,208724,69241,434534,434568,203831,434569,148041,434572,434574,434575,434584,36007,351877,47691,85961,434649,434650,2820,368888,434664,78045,434678,13814,13161,434760,434763,434804,14955,434898,434899,316197,330125,434923,286652,213574,434934,411743,208767,434951,434956,434958,434959,78108,100510,35932,434969,434972,434973,434976,36945,1164,37792,1981,434982,434985,434986,355513,434987,434996,434997,434998,435002,158419,435004,435005,5338,435011,435012,435014,115827,435020,163490,435025,150284,435037,435038,435052,435054,73122,69032,247560,128474,435075,435076,435079,70274,435087,435179,435180,435181,219209,161490,435186,95452,73331,69700,229915,435210,435216,34584,435221,435222,435224,435225,435227,435250,216429,124538,117839,88798,1715,435280,247867,247866,435296,257589,435368,435369,218900,315721,435384",2795,-0.7028776407241821,-0.0479472279548645,-1.0,0.99557185,0.4741377830505371,-0.9856001138687134
117,House,20301,0.363,"ROGERS, Mike Dennis",R000575,200,13551,Republican,blue,-0.2467764616012573,-0.2921052575111389,-0.1517949104309082,565540,"16703,18391,21655,21657,23503,26690,18398,18725,13935,18470,19753,18383,43509,34678,1971,18441,24243,18469,16700,2370,34165,13691,16544,27468,16068,16070,21177,23836,26294,4246,7352,16874,34730,81880,10611,73049,16408,93183,93171,93174,93168,21563,27784,13293,8763,13087,38185,3283,108141,17272,17426,84555,113699,18991,17525,127859,15013,19560,21838,135301,135316,135340,135342,61370,135469,135502,135504,135511,135512,135522,135527,135528,135541,135546,135552,135560,135570,135586,135597,135601,135607,135609,135614,135620,135624,135628,135632,135633,135638,135643,135644,135645,135647,20683,135653,135656,135666,135667,135669,135675,135683,135686,135690,135697,135703,135705,20500,29711,13551,13719,13059,103615,135744,135745,75280,139582,21802,146325,154044,22784,156575,92804,23854,17326,13331,3279,63806,182464,182653,182490,182491,183127,183248,183251,184541,184909,15372,193387,194919,197209,199276,72990,203213,211374,26255,223541,245399,1647,248671,248736,24637,112806,23608,20322,252494,255404,255751,256724,15172,10270,271845,274395,278104,135714,281030,281383,281918,89714,18478,45869,325580,11010,3225,16995,15827,12945,352706,21560,59877,117390,87535,18729,360642,360695,360824,153134,363598,16699,366732,391058,93400,417515,417518,417523,425510,17260,96123",197,0.1189719438552856,-0.0123324394226074,0.5399738550186157,-0.263116,0.07811295986175537,0.15798485279083252
117,House,21102,-0.396,"SEWELL, Terri",S001185,100,45074,Democrat,red,0.1848891973495483,0.1691347360610962,-0.0574779510498046,458086,"1737,46056,75933,1654,10611,91089,91092,51411,47762,2230,46802,59297,4694,4698,38217,47805,45670,51503,69786,79562,51321,33415,28215,68357,15534,51783,35944,71356,3935,4246,2757,8763,50777,67912,13736,28884,92956,35044,73053,37937,113610,114692,48188,118251,26624,67914,13986,2550,1661,43807,104097,27578,6094,21139,133327,19755,22438,22989,14009,16512,16654,16689,24801,27973,34533,34681,38055,58552,67958,34641,42663,48622,20494,75184,80417,80438,59139,134335,134861,134874,134877,134888,134919,134973,134985,134993,135004,135016,135060,135186,135196,135224,135285,135295,135316,135339,135340,135341,13227,13503,116304,28862,135456,135469,135504,135510,135516,61356,135524,135526,135532,135535,135550,135552,135605,135614,135633,135643,135664,135666,135667,135672,135687,135690,135703,20500,69455,19467,138513,86308,139303,139890,67962,144806,144904,68485,81880,146554,146573,146575,16048,154196,69857,154264,154484,17135,157624,83242,158642,24217,105460,159936,51268,166737,47050,169504,169513,106621,172678,172692,178958,63806,120226,182670,182521,183248,184835,97097,188721,196878,197101,198339,185055,199243,199717,199963,205925,206093,207348,208538,210622,3115,214044,13815,216462,216764,217922,221072,203280,222214,243844,244407,244454,244457,244514,244534,244559,245177,245406,248673,248736,173565,250360,21668,253588,144879,39399,256074,258096,70759,259076,259311,71651,42268,23326,15252,278104,281067,83193,17733,281926,179544,15623,78065,331589,134992,98904,310585,1170,340807,60503,18729,22497,16699,122990,102955,108130,379249,76255,386749,386830,6416,37334,388565,388896,390956,68292,7850,1526,416997,33691,42114,43933,433438,186370",255,-0.0341649651527404,0.0124913454055786,0.1594207286834716,-0.607777,0.07508659362792969,-0.12738078832626343
117,House,21193,0.652,"BROOKS, Mo",B001274,200,91561,Republican,blue,-0.3297044038772583,-0.0463823080062866,-0.211008071899414,234980,"19516,15149,17426,93158,1654,22293,135469,135512,135524,135541,135597,135596,135601,135607,135609,135618,135619,135620,135628,135629,135633,135634,135639,135640,135643,135645,135647,135648,135696,135697,138477,138625,138626,33134,160871,17195,19753,245399,248736,250436,23608,84969,255803,12902,29711,34136,235302,91561,276991,92853,281090,281918,21100,154326,348021,353162,258357,148499,10682,72489,128123,95309,360642,2485,74121,294755,327443,147241,381390,253029,215445,396396,391519,204438,417529,417537,233436,146081,135502,145056,325684,425510,425627,434924",84,0.1128870248794555,0.1310199499130249,0.4456114768981933,-0.12684733,-0.1766558289527893,0.11224305629730225
117,House,21500,0.678,"PALMER, Gary James",P000609,200,89595,Republican,blue,-0.4927480816841125,0.2489693164825439,-0.4511767029762268,200700,"19516,133922,133900,136518,128123,133022,94021,34913,74269,248736,250110,250112,230859,19753,254660,133925,47118,183251,262286,95309,58055,263401,263894,271780,133948,35649,81880,135685,70004,89602,15827,338703,352685,354267,145961,89421,99522,22526,360642,196862,188440,388401,182673,417521,135585,192059,135528,17178,17337,135502",50,0.6374917030334473,0.2007308006286621,0.8426942825317383,-0.08382255,-0.4162706732749939,0.0668717622756958
117,House,22108,0.52,"CARL, Jerry L.",C001054,200,417497,Republican,blue,-0.6224437952041626,0.1264171600341797,-0.5709226131439209,36510,"182673,417521,233436,146081,19753,431400,29711,417284,417285,417496,417497,30060,416277,417589,417590",15,0.0207298994064331,0.2022044658660888,0.1000227928161621,-0.2130022,-0.4047248363494873,-0.08874022960662842
117,House,22140,0.642,"MOORE, Barry",M001212,200,417435,Republican,blue,-0.434361457824707,0.3106728792190552,-0.4058834910392761,91255,"404471,135585,417538,417545,233436,133923,70004,133937,133942,132987,89421,34913,6399,204438,353162,272307,425540,58055,425593,425608,33830,95309,34923,417521,433791,226736,96123",27,0.639702558517456,0.3172688484191894,0.7774237394332886,0.11260176,-0.5076234936714172,0.16649043560028076
117,House,29701,0.386,"ADERHOLT, Robert",A000055,200,12902,Republican,blue,-0.2289535999298095,-0.0293230414390563,-0.1535939574241638,607846,"10610,20322,23732,15824,18398,41340,41652,43237,18725,1020,42573,33121,12902,28803,33112,29711,13966,33087,44137,18723,17846,18470,19753,26331,34678,13005,44911,24243,27784,18469,19033,16700,34165,19712,21560,23608,16068,21177,18728,20208,16995,71980,25016,4246,13668,1654,12982,7352,18401,22078,15723,16184,16874,34730,14007,7553,13945,93187,21563,95309,13777,13350,13236,13334,8763,13384,17426,13146,13413,41697,19116,18991,16186,117157,58334,100997,101000,101005,13834,13893,18382,17455,17208,17538,15617,127859,59706,16779,15658,19560,74093,130839,10611,16450,16778,19754,27483,27057,19540,134335,135316,135319,135334,135340,135469,135504,135519,135524,135527,135528,135541,135552,135565,135570,135581,135582,135583,135597,135601,135605,135607,135609,135614,135619,135620,135624,135627,135628,135629,135632,135633,135634,135638,135640,135643,135644,135645,135647,135666,135675,135694,135697,135700,135703,135706,135707,135709,135714,139582,146325,153587,22784,156989,15828,4708,22185,177874,44254,3279,13850,63806,63811,182464,182805,182468,182653,182490,182491,183248,184909,188718,200502,213925,15651,27540,182634,226716,16855,17164,245399,248736,250587,16169,21950,17464,252394,252491,252494,1971,256489,204073,13855,263894,267108,91561,281051,281090,284633,285291,81880,32513,17661,18478,13801,13652,20937,15827,352685,18729,17412,16699,91110,386830,16136,396396,45024,22659,17178,28056,228917,135502,234266,425510,117057,57963,16460",226,0.1664917469024658,0.1992890834808349,0.4006116390228271,0.04876387,-0.6479529142379761,-0.21481144428253174
117,House,14066,0.283,"YOUNG, Donald Edwin",Y000033,200,13680,Republican,blue,0.1084860563278198,-0.058984637260437,0.2004263401031494,785537,"9651,17119,17281,17286,19703,20607,20608,13935,21078,21151,21152,21339,22139,23756,24949,24973,24974,24981,25105,25108,26357,26690,27109,21167,1715,18725,1016,1026,1027,1023,1022,1046,1084,1086,21633,44168,15035,20610,26350,17846,15306,44609,44611,18750,14305,16137,44923,17178,1971,15183,44911,7615,2370,6274,8681,14238,15095,20366,49006,5287,15067,49199,49926,15308,52072,34780,26330,19586,17173,59370,69103,15394,14577,70820,15017,68428,47616,74093,71335,74805,71307,71292,15224,77580,17455,23286,15521,22965,33905,13553,17644,5483,2944,23389,15158,15159,21594,35144,82233,14007,79445,20922,35649,73049,16408,90588,16540,93183,17411,27213,93779,93796,93775,95201,96728,16424,18382,2375,34300,23765,17577,101188,15461,102828,102829,77196,28218,32000,104382,104383,49583,50952,70342,70538,14272,16512,4606,13614,14240,18384,15431,26695,117158,112623,22674,23414,51056,63480,13959,23997,17678,117795,113471,98061,43564,118791,14078,127402,15627,115152,128275,23073,14247,128986,129019,21224,15658,125888,130224,1936,16265,131048,38825,131727,132140,132172,132181,132650,59565,13535,13987,17831,69842,38714,134624,135720,135793,135795,135802,135872,135877,135878,135879,135881,135883,135887,135889,135890,135895,135896,135898,135899,135901,135902,135910,135916,135917,135919,137002,137034,19451,20020,26028,137184,24451,138287,138470,138477,138483,138646,63487,138702,138705,138706,138805,138882,138885,139094,75280,141397,143887,145090,148951,102002,149361,149362,149368,149370,35146,67811,67817,154225,4085,155128,155285,59383,3183,6971,157382,92804,42998,22081,22085,22741,78773,160140,160467,5982,21273,167120,144719,5102,5107,175796,175815,175818,183177,183614,183616,183724,185439,186011,198459,201024,72990,203995,204949,206387,138766,208551,203494,193292,215426,216439,24148,138555,223541,226394,226428,226426,226427,226716,143060,227746,228526,228573,232302,18803,116380,136704,17854,248209,248238,250341,24251,24637,252427,252841,252843,10040,131778,246967,40590,254265,22146,60488,254734,255572,255739,256269,256279,207418,212322,52680,260372,46498,252498,91629,270128,73921,13964,274412,275977,156189,172343,315552,168746,19925,335009,18053,337109,17950,17412,339062,340934,183821,42690,14374,347026,212325,330212,110190,14029,18723,355108,355525,355649,10133,356687,356689,356691,356692,356697,18212,80716,79597,359507,363309,370283,370290,348768,375979,329842,24016,390123,391956,399376,42811,406034,157616,193427,423253,423258,427464,49592,69216,15314,435084",388,-0.7407559156417847,0.2443437576293945,0.2105633020401001,-0.27512556,0.13192105293273926,0.2143857479095459
