congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party
117,President,99912,0.403,"TRUMP, Donald John",,200,,Republican
117,President,99913,-0.32,"BIDEN, Joseph Robinette, Jr.",B000444,100,13047.0,Democrat
117,House,20301,0.363,"ROGERS, Mike Dennis",R000575,200,13551.0,Republican
117,House,21102,-0.396,"SEWELL, Terri",S001185,100,45074.0,Democrat
117,House,21193,0.652,"BROOKS, Mo",B001274,200,91561.0,Republican
117,House,21500,0.678,"PALMER, Gary James",P000609,200,89595.0,Republican
117,House,22108,0.52,"CARL, Jerry L.",C001054,200,417497.0,Republican
117,House,22140,0.642,"MOORE, Barry",M001212,200,417435.0,Republican
117,House,29701,0.386,"ADERHOLT, Robert",A000055,200,12902.0,Republican
117,House,14066,0.283,"YOUNG, Donald Edwin",Y000033,200,13680.0,Republican
117,House,22168,-0.156,"PELTOLA, Mary Sattler",P000619,100,427920.0,Democrat
117,House,21995,0.336,"RADEWAGEN, Aumua Amata Coleman",R000600,200,284860.0,Republican
117,House,20305,-0.598,"GRIJALVA, Raúl M.",G000551,100,13317.0,Democrat
117,House,20902,-0.169,"KIRKPATRICK, Ann",K000368,100,31643.0,Democrat
117,House,21103,0.699,"GOSAR, Paul",G000565,200,91579.0,Republican
117,House,21105,0.571,"SCHWEIKERT, David",S001183,200,29334.0,Republican
117,House,21502,-0.436,"GALLEGO, Ruben",G000574,100,223580.0,Democrat
117,House,21705,0.833,"BIGGS, Andrew S.",B001302,200,284872.0,Republican
117,House,21739,-0.198,"O'HALLERAN, Thomas C.",O000171,100,284871.0,Democrat
117,House,21757,0.617,"LESKO, Debbie",L000589,200,315008.0,Republican
117,House,21968,-0.284,"STANTON, Greg",S001211,100,337029.0,Democrat
117,House,21106,0.445,"CRAWFORD, Rick",C001087,200,91569.0,Republican
117,House,21108,0.352,"WOMACK, Steve",W000809,200,91636.0,Republican
117,House,21503,0.433,"HILL, French",H001072,200,208734.0,Republican
117,House,21563,0.544,"WESTERMAN, Bruce Eugene",W000821,200,216629.0,Republican
117,House,15448,-0.49,"PELOSI, Nancy",P000197,100,13516.0,Democrat
117,House,20104,-0.35,"SCHIFF, Adam",S001150,100,13573.0,Democrat
117,House,20107,0.49,"ISSA, Darrell",I000056,200,13358.0,Republican
117,House,20307,0.45,"NUNES, Devin",N000181,200,13502.0,Republican
117,House,20310,-0.508,"SÁNCHEZ, Linda T.",S001156,100,13566.0,Democrat
117,House,20501,-0.195,"COSTA, Jim",C001059,100,13213.0,Democrat
117,House,20538,-0.435,"MATSUI, Doris",M001163,100,13442.0,Democrat
117,House,20702,-0.263,"McNERNEY, Jerry",M001166,100,13461.0,Democrat
117,House,20703,0.456,"MCCARTHY, Kevin",M001165,200,13445.0,Republican
117,House,20762,-0.381,"SPEIER, Karen Lorraine Jacqueline (Jackie)",S001175,100,30304.0,Democrat
